# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 01/01/2025, 12:00:00
# Sondaje: DH-R01-C01
# Azimut Sondaje: 90°
# Inclinacion Sondaje: -70°
# UTM Este Collar: 350000.00
# UTM Norte Collar: 6500000.00
# Elevacion Collar: 2000.00
# Profundidad Total: 30000.00 cm (300.00 m)
# Total de Planos: 10

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m
1,1000.00,10.00,Fractura,82.45,85.23,85.23,BOH2,2.4567,0.1234,999.8765,-1.2345,2.3456,999.9876,-0.7890,-2.4567,999.7654,82.45,85.23,350000.00,6500000.00,1990.00
2,2000.00,20.00,Contacto,83.12,87.56,87.56,BOH1,2.3456,0.2345,1999.7654,-1.3456,2.4567,1999.8765,-0.8901,-2.5678,1999.6543,83.12,87.56,350000.00,6500000.00,1980.00
3,3000.00,30.00,Fractura,81.89,83.45,83.45,BOH2,2.5678,0.3456,2999.6543,-1.4567,2.5678,2999.7654,-0.9012,-2.6789,2999.5432,81.89,83.45,350000.00,6500000.00,1970.00
4,4000.00,40.00,Veta,84.23,86.78,86.78,BOH1,2.6789,0.4567,3999.5432,-1.5678,2.6789,3999.6543,-0.0123,-2.7890,3999.4321,84.23,86.78,350000.00,6500000.00,1960.00
5,5000.00,50.00,Fractura,82.78,84.67,84.67,BOH2,2.7890,0.5678,4999.4321,-1.6789,2.7890,4999.5432,-0.1234,-2.8901,4999.3210,82.78,84.67,350000.00,6500000.00,1950.00
6,10000.00,100.00,Fractura,83.45,85.89,85.89,BOH1,2.8901,0.6789,9999.3210,-1.7890,2.8901,9999.4321,-0.2345,-3.0012,9999.1098,83.45,85.89,350000.00,6500000.00,1900.00
7,15000.00,150.00,Contacto,82.12,87.23,87.23,BOH2,2.9012,0.7890,14999.1098,-1.8901,2.9012,14999.3210,-0.3456,-3.1123,14998.9876,82.12,87.23,350000.00,6500000.00,1850.00
8,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350000.00,6500000.00,1800.00
9,25000.00,250.00,Fractura,84.56,88.12,88.12,BOH2,2.0123,0.8901,24998.9876,-1.9012,2.0123,24999.1098,-0.4567,-3.2234,24998.7654,84.56,88.12,350000.00,6500000.00,1750.00
10,30000.00,300.00,Veta,83.78,86.45,86.45,BOH1,2.1234,0.9012,29998.7654,-1.0123,2.1234,29998.9876,-0.5678,-3.3345,29998.5432,83.78,86.45,350000.00,6500000.00,1700.00

# RESUMEN ESTADÍSTICO
# Alpha promedio: 82.68° (min: 81.89°, max: 84.56°)
# Beta promedio: 86.24° (min: 83.45°, max: 88.12°)
# Distribución por tipo:
# Fractura: 6
# Contacto: 2
# Veta: 2
# Estratificación: 1
