# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 02/10/2025, 10:30:00
# Sondaje: DDH-AOC-001
# Azimut Sondaje: 60°
# Inclinacion Sondaje: -60°
# UTM Este Collar: 350000.00
# UTM Norte Collar: 6500000.00
# Elevacion Collar: 2000.00
# Profundidad Total: 50000.00 cm (500.00 m)
# Total de Planos: 100

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m
1,500.00,5.00,Fractura,2.83,8.90,68.90,BOH2,2.6960,0.0507,499.7382,-1.5221,2.9427,499.9704,-1.3938,-3.2132,499.7144,87.17,68.90,350002.17,6500001.25,1995.67
2,1000.00,10.00,Veta,1.27,8.64,68.64,BOH1,3.0259,0.3642,999.9696,-1.9430,2.5195,999.9511,-0.7282,-2.5291,1000.2565,88.73,68.64,350004.33,6500002.50,1991.34
3,1500.00,15.00,Falla,7.58,18.68,78.68,BOH1,2.5263,0.5355,1500.2832,-2.8391,1.6418,1499.9564,-0.5941,-3.0842,1499.9981,82.42,78.68,350006.50,6500003.75,1987.01
4,2000.00,20.00,Contacto,7.16,12.96,72.96,BOH1,2.7031,0.3213,1999.9730,-2.3418,2.1455,1999.9367,-0.6243,-2.7297,1999.8545,82.84,72.96,350008.66,6500005.00,1982.68
5,2500.00,25.00,Fractura,3.80,14.21,74.21,BOH2,3.1468,0.8486,2499.7990,-1.8968,2.5929,2500.2837,-1.3355,-3.5270,2499.9458,86.20,74.21,350010.83,6500006.25,1978.35
6,3000.00,30.00,Veta,5.74,6.91,66.91,BOH2,2.9795,0.2096,3000.1069,-2.0087,2.4368,2999.9811,-1.1157,-2.7914,3000.1308,84.26,66.91,350012.99,6500007.50,1974.02
7,3500.00,35.00,Falla,8.62,0.17,60.17,BOH2,3.5375,0.3719,3500.0747,-2.0947,2.2458,3500.0142,-1.1691,-2.3441,3499.8565,81.38,60.17,350015.16,6500008.75,1969.69
8,4000.00,40.00,Contacto,6.87,2.77,62.77,BOH1,3.4358,0.4180,3999.7895,-1.8432,2.5451,3999.9459,-1.2715,-2.6419,4000.1768,83.13,62.77,350017.32,6500010.00,1965.36
9,4500.00,45.00,Fractura,1.29,6.36,66.36,BOH2,3.6466,0.8431,4499.8003,-1.5074,2.9318,4499.8863,-1.1906,-2.8263,4499.9710,88.71,66.36,350019.49,6500011.25,1961.03
10,5000.00,50.00,Veta,5.05,8.78,68.78,BOH2,3.3836,0.7307,5000.2109,-2.2252,2.2385,4999.8008,-0.9076,-2.7185,4999.9495,84.95,68.78,350021.65,6500012.50,1956.70
