# REPORTE DE MEDICIÓN ESTRUCTURAL - GeoStXR
# Fecha: 01/01/2025, 12:00:00
# Sondaje: DH-R01-C03
# Azimut Sondaje: 90°
# Inclinacion Sondaje: -70°
# UTM Este Collar: 350086.60
# UTM Norte Collar: 6500050.00
# Elevacion Collar: 2000.00
# Profundidad Total: 30000.00 cm (300.00 m)
# Total de Planos: 10

Plano,Profundidad_cm,Profundidad_m,Tipo,Alpha_grados,Beta_grados,Azimuth_grados,BOH_Referencia,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z,Dip_Real_grados,Dip_Direction_grados,UTM_Este_m,UTM_Norte_m,Elevacion_m
1,1000.00,10.00,Fractura,80.15,83.45,83.45,BOH2,2.1234,0.2345,999.7654,-1.2345,2.2345,999.8765,-0.8901,-2.3456,999.6543,80.15,83.45,350086.60,6500050.00,1990.00
2,2000.00,20.00,Contacto,81.78,85.89,85.89,BOH1,2.2345,0.3456,1999.6543,-1.3456,2.3456,1999.7654,-0.9012,-2.4567,1999.5432,81.78,85.89,350086.60,6500050.00,1980.00
3,3000.00,30.00,Fractura,82.34,84.67,84.67,BOH2,2.3456,0.4567,2999.5432,-1.4567,2.4567,2999.6543,-0.0123,-2.5678,2999.4321,82.34,84.67,350086.60,6500050.00,1970.00
4,4000.00,40.00,Veta,83.67,86.23,86.23,BOH1,2.4567,0.5678,3999.4321,-1.5678,2.5678,3999.5432,-0.1234,-2.6789,3999.3210,83.67,86.23,350086.60,6500050.00,1960.00
5,5000.00,50.00,Fractura,81.89,85.12,85.12,BOH2,2.5678,0.6789,4999.3210,-1.6789,2.6789,4999.4321,-0.2345,-2.7890,4999.1098,81.89,85.12,350086.60,6500050.00,1950.00
6,10000.00,100.00,Fractura,82.56,86.78,86.78,BOH1,2.6789,0.7890,9999.1098,-1.7890,2.7890,9999.3210,-0.3456,-2.8901,9998.9876,82.56,86.78,350086.60,6500050.00,1900.00
7,15000.00,150.00,Contacto,80.23,87.45,87.45,BOH2,2.7890,0.8901,14998.9876,-1.8901,2.8901,14999.1098,-0.4567,-3.0012,14998.7654,80.23,87.45,350086.60,6500050.00,1850.00
8,20000.00,200.00,Estratificacion,45.67,90.00,90.00,BOH1,1.5000,0.0000,19999.9876,-1.5000,0.0000,20000.0124,0.0000,-2.0000,20000.0000,45.67,90.00,350086.60,6500050.00,1800.00
9,25000.00,250.00,Fractura,83.45,88.67,88.67,BOH2,2.8901,0.9012,24998.7654,-1.9012,2.9012,24998.9876,-0.5678,-3.1123,24998.5432,83.45,88.67,350086.60,6500050.00,1750.00
10,30000.00,300.00,Veta,82.12,85.34,85.34,BOH1,2.9012,0.0123,29998.5432,-1.0123,2.0123,29998.7654,-0.6789,-3.2234,29998.3210,82.12,85.34,350086.60,6500050.00,1700.00

# RESUMEN ESTADÍSTICO
# Alpha promedio: 82.01° (min: 80.15°, max: 83.67°)
# Beta promedio: 85.93° (min: 83.45°, max: 88.67°)
# Distribución por tipo:
# Fractura: 6
# Contacto: 2
# Veta: 2
# Estratificación: 1
