# COORDENADAS DE COLLAR - GRID 100DH
# Proyecto: Grid de Sondajes GeoStXR
# Orientación de Filas: N30°W (330°)
# Azimut Sondajes: 90° (Este)
# Inclinación Sondajes: -70°
# Espaciado: 50 m entre sondajes
# Coordenadas UTM Zona 19S

DHID,Row,Column,Easting_UTM,Northing_UTM,Elevation_m,Azimuth_Deg,Inclination_Deg,Depth_m
DH-R01-C01,1,1,350000.00,6500000.00,2000.00,90.00,-70.00,300.00
DH-R01-C02,1,2,350043.30,6500025.00,2000.00,90.00,-70.00,300.00
DH-R01-C03,1,3,350086.60,6500050.00,2000.00,90.00,-70.00,300.00
DH-R01-C04,1,4,350129.90,6500075.00,2000.00,90.00,-70.00,300.00
DH-R01-C05,1,5,350173.21,6500100.00,2000.00,90.00,-70.00,300.00
DH-R01-C06,1,6,350216.51,6500125.00,2000.00,90.00,-70.00,300.00
DH-R01-C07,1,7,350259.81,6500150.00,2000.00,90.00,-70.00,300.00
DH-R01-C08,1,8,350303.11,6500175.00,2000.00,90.00,-70.00,300.00
DH-R01-C09,1,9,350346.41,6500200.00,2000.00,90.00,-70.00,300.00
DH-R01-C10,1,10,350389.71,6500225.00,2000.00,90.00,-70.00,300.00
DH-R02-C01,2,1,350025.00,6499875.00,2000.00,90.00,-70.00,300.00
DH-R02-C02,2,2,350068.30,6499900.00,2000.00,90.00,-70.00,300.00
DH-R02-C03,2,3,350111.60,6499925.00,2000.00,90.00,-70.00,300.00
DH-R02-C04,2,4,350154.90,6499950.00,2000.00,90.00,-70.00,300.00
DH-R02-C05,2,5,350198.21,6499975.00,2000.00,90.00,-70.00,300.00
DH-R02-C06,2,6,350241.51,6500000.00,2000.00,90.00,-70.00,300.00
DH-R02-C07,2,7,350284.81,6500025.00,2000.00,90.00,-70.00,300.00
DH-R02-C08,2,8,350328.11,6500050.00,2000.00,90.00,-70.00,300.00
DH-R02-C09,2,9,350371.41,6500075.00,2000.00,90.00,-70.00,300.00
DH-R02-C10,2,10,350414.71,6500100.00,2000.00,90.00,-70.00,300.00
DH-R03-C01,3,1,350050.00,6499750.00,2000.00,90.00,-70.00,300.00
DH-R03-C02,3,2,350093.30,6499775.00,2000.00,90.00,-70.00,300.00
DH-R03-C03,3,3,350136.60,6499800.00,2000.00,90.00,-70.00,300.00
DH-R03-C04,3,4,350179.90,6499825.00,2000.00,90.00,-70.00,300.00
DH-R03-C05,3,5,350223.21,6499850.00,2000.00,90.00,-70.00,300.00
DH-R03-C06,3,6,350266.51,6499875.00,2000.00,90.00,-70.00,300.00
DH-R03-C07,3,7,350309.81,6499900.00,2000.00,90.00,-70.00,300.00
DH-R03-C08,3,8,350353.11,6499925.00,2000.00,90.00,-70.00,300.00
DH-R03-C09,3,9,350396.41,6499950.00,2000.00,90.00,-70.00,300.00
DH-R03-C10,3,10,350439.71,6499975.00,2000.00,90.00,-70.00,300.00
DH-R04-C01,4,1,350075.00,6499625.00,2000.00,90.00,-70.00,300.00
DH-R04-C02,4,2,350118.30,6499650.00,2000.00,90.00,-70.00,300.00
DH-R04-C03,4,3,350161.60,6499675.00,2000.00,90.00,-70.00,300.00
DH-R04-C04,4,4,350204.90,6499700.00,2000.00,90.00,-70.00,300.00
DH-R04-C05,4,5,350248.21,6499725.00,2000.00,90.00,-70.00,300.00
DH-R04-C06,4,6,350291.51,6499750.00,2000.00,90.00,-70.00,300.00
DH-R04-C07,4,7,350334.81,6499775.00,2000.00,90.00,-70.00,300.00
DH-R04-C08,4,8,350378.11,6499800.00,2000.00,90.00,-70.00,300.00
DH-R04-C09,4,9,350421.41,6499825.00,2000.00,90.00,-70.00,300.00
DH-R04-C10,4,10,350464.71,6499850.00,2000.00,90.00,-70.00,300.00
DH-R05-C01,5,1,350100.00,6499500.00,2000.00,90.00,-70.00,300.00
DH-R05-C02,5,2,350143.30,6499525.00,2000.00,90.00,-70.00,300.00
DH-R05-C03,5,3,350186.60,6499550.00,2000.00,90.00,-70.00,300.00
DH-R05-C04,5,4,350229.90,6499575.00,2000.00,90.00,-70.00,300.00
DH-R05-C05,5,5,350273.21,6499600.00,2000.00,90.00,-70.00,300.00
DH-R05-C06,5,6,350316.51,6499625.00,2000.00,90.00,-70.00,300.00
DH-R05-C07,5,7,350359.81,6499650.00,2000.00,90.00,-70.00,300.00
DH-R05-C08,5,8,350403.11,6499675.00,2000.00,90.00,-70.00,300.00
DH-R05-C09,5,9,350446.41,6499700.00,2000.00,90.00,-70.00,300.00
DH-R05-C10,5,10,350489.71,6499725.00,2000.00,90.00,-70.00,300.00
DH-R06-C01,6,1,350125.00,6499375.00,2000.00,90.00,-70.00,300.00
DH-R06-C02,6,2,350168.30,6499400.00,2000.00,90.00,-70.00,300.00
DH-R06-C03,6,3,350211.60,6499425.00,2000.00,90.00,-70.00,300.00
DH-R06-C04,6,4,350254.90,6499450.00,2000.00,90.00,-70.00,300.00
DH-R06-C05,6,5,350298.21,6499475.00,2000.00,90.00,-70.00,300.00
DH-R06-C06,6,6,350341.51,6499500.00,2000.00,90.00,-70.00,300.00
DH-R06-C07,6,7,350384.81,6499525.00,2000.00,90.00,-70.00,300.00
DH-R06-C08,6,8,350428.11,6499550.00,2000.00,90.00,-70.00,300.00
DH-R06-C09,6,9,350471.41,6499575.00,2000.00,90.00,-70.00,300.00
DH-R06-C10,6,10,350514.71,6499600.00,2000.00,90.00,-70.00,300.00
DH-R07-C01,7,1,350150.00,6499250.00,2000.00,90.00,-70.00,300.00
DH-R07-C02,7,2,350193.30,6499275.00,2000.00,90.00,-70.00,300.00
DH-R07-C03,7,3,350236.60,6499300.00,2000.00,90.00,-70.00,300.00
DH-R07-C04,7,4,350279.90,6499325.00,2000.00,90.00,-70.00,300.00
DH-R07-C05,7,5,350323.21,6499350.00,2000.00,90.00,-70.00,300.00
DH-R07-C06,7,6,350366.51,6499375.00,2000.00,90.00,-70.00,300.00
DH-R07-C07,7,7,350409.81,6499400.00,2000.00,90.00,-70.00,300.00
DH-R07-C08,7,8,350453.11,6499425.00,2000.00,90.00,-70.00,300.00
DH-R07-C09,7,9,350496.41,6499450.00,2000.00,90.00,-70.00,300.00
DH-R07-C10,7,10,350539.71,6499475.00,2000.00,90.00,-70.00,300.00
DH-R08-C01,8,1,350175.00,6499125.00,2000.00,90.00,-70.00,300.00
DH-R08-C02,8,2,350218.30,6499150.00,2000.00,90.00,-70.00,300.00
DH-R08-C03,8,3,350261.60,6499175.00,2000.00,90.00,-70.00,300.00
DH-R08-C04,8,4,350304.90,6499200.00,2000.00,90.00,-70.00,300.00
DH-R08-C05,8,5,350348.21,6499225.00,2000.00,90.00,-70.00,300.00
DH-R08-C06,8,6,350391.51,6499250.00,2000.00,90.00,-70.00,300.00
DH-R08-C07,8,7,350434.81,6499275.00,2000.00,90.00,-70.00,300.00
DH-R08-C08,8,8,350478.11,6499300.00,2000.00,90.00,-70.00,300.00
DH-R08-C09,8,9,350521.41,6499325.00,2000.00,90.00,-70.00,300.00
DH-R08-C10,8,10,350564.71,6499350.00,2000.00,90.00,-70.00,300.00
DH-R09-C01,9,1,350200.00,6499000.00,2000.00,90.00,-70.00,300.00
DH-R09-C02,9,2,350243.30,6499025.00,2000.00,90.00,-70.00,300.00
DH-R09-C03,9,3,350286.60,6499050.00,2000.00,90.00,-70.00,300.00
DH-R09-C04,9,4,350329.90,6499075.00,2000.00,90.00,-70.00,300.00
DH-R09-C05,9,5,350373.21,6499100.00,2000.00,90.00,-70.00,300.00
DH-R09-C06,9,6,350416.51,6499125.00,2000.00,90.00,-70.00,300.00
DH-R09-C07,9,7,350459.81,6499150.00,2000.00,90.00,-70.00,300.00
DH-R09-C08,9,8,350503.11,6499175.00,2000.00,90.00,-70.00,300.00
DH-R09-C09,9,9,350546.41,6499200.00,2000.00,90.00,-70.00,300.00
DH-R09-C10,9,10,350589.71,6499225.00,2000.00,90.00,-70.00,300.00
DH-R10-C01,10,1,350225.00,6498875.00,2000.00,90.00,-70.00,300.00
DH-R10-C02,10,2,350268.30,6498900.00,2000.00,90.00,-70.00,300.00
DH-R10-C03,10,3,350311.60,6498925.00,2000.00,90.00,-70.00,300.00
DH-R10-C04,10,4,350354.90,6498950.00,2000.00,90.00,-70.00,300.00
DH-R10-C05,10,5,350398.21,6498975.00,2000.00,90.00,-70.00,300.00
